対応ID,顧客名,契約プラン,対象設備,設備型式,訪問日,対応区分,障害内容,対応内容,作業時間（時間）,部品交換有無,部品費用（円）,作業費用（円）,一次解決,担当エンジニア,顧客満足度,備考
SVC-2024-001,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2024-04-10,緊急対応,主軸モーター過負荷停止,ベアリンググリス交換・モーター復帰,3.5,有,28000,52500,○,森田 拓海,4,
SVC-2024-002,富士電装株式会社,スタンダード,自動組立機,FA-200,2024-04-18,緊急対応,コンベア停止,異物除去・モーター冷却後再起動,1.5,無,0,22500,○,川上 直樹,5,
SVC-2024-003,信濃プラスチック株式会社,プレミアム,射出成形機,SE-280,2024-04-25,定期点検,定期点検（四半期）,全項目点検実施,4.0,無,0,0,○,森田 拓海,4,契約内
SVC-2024-004,三河工業株式会社,スタンダード,マシニングセンタ,MV-65,2024-05-08,緊急対応,ATC動作不良,カムフォロア交換・ATC調整,2.5,有,24000,37500,○,川上 直樹,4,
SVC-2024-005,大和電子工業株式会社,ベーシック,はんだ付けロボット,SR-10,2024-05-15,定期点検,定期点検（半期）,全項目点検実施,3.0,無,0,45000,○,森田 拓海,4,
SVC-2024-006,関東精密株式会社,スタンダード,CNC旋盤,NL-2000,2024-05-22,緊急対応,油圧ポンプ異音,油圧ポンプ交換,6.0,有,65000,90000,×,川上 直樹,3,部品取寄せで翌日完了
SVC-2024-007,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2024-06-05,緊急対応,クーラントポンプ故障,クーラントポンプ交換,2.0,有,65000,0,○,森田 拓海,5,契約内部品
SVC-2024-008,中部機械製作所,スタンダード,円筒研削盤,GU-32,2024-06-18,緊急対応,砥石軸振動異常,砥石再バランス調整,1.5,無,0,22500,○,森田 拓海,4,
SVC-2024-009,甲信電機株式会社,プレミアム,自動組立機,FA-150,2024-06-25,定期点検,定期点検（月次）,全項目点検実施,3.0,無,0,0,○,川上 直樹,5,契約内
SVC-2024-010,北陸樹脂加工株式会社,ベーシック,射出成形機,SE-180,2024-07-05,緊急対応,ヒーターバンド断線,ヒーターバンド交換・温度校正,2.0,有,17000,30000,○,森田 拓海,4,
SVC-2024-011,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2024-07-15,定期点検,定期点検（月次）,全項目点検実施（報告書INS-2024-0045）,4.0,無,0,0,○,森田 拓海,5,契約内
SVC-2024-012,富士電装株式会社,スタンダード,自動組立機,FA-200,2024-08-02,緊急対応,ロボットアーム位置ずれ,原点復帰・位置補正,2.0,無,0,30000,○,川上 直樹,4,
SVC-2024-013,富士電装株式会社,スタンダード,自動組立機,FA-200,2024-08-20,定期点検,定期点検（四半期）（報告書INS-2024-0052）,全項目点検実施,3.5,無,0,0,○,川上 直樹,4,契約内
SVC-2024-014,信濃プラスチック株式会社,プレミアム,射出成形機,SE-280,2024-09-10,定期点検,定期点検（月次）（報告書INS-2024-0061）,全項目点検実施,4.5,無,0,0,○,森田 拓海,4,契約内
SVC-2024-015,三河工業株式会社,スタンダード,マシニングセンタ,MV-65,2024-09-18,緊急対応,主軸ベアリング異音,主軸ベアリング交換,8.0,有,220000,120000,×,川上 直樹,3,メーカー技術者同行
SVC-2024-016,大和電子工業株式会社,ベーシック,はんだ付けロボット,SR-10,2024-10-05,緊急対応,こて先温度不安定,ヒーターカートリッジ交換,1.5,有,6800,22500,○,森田 拓海,5,
SVC-2024-017,三河工業株式会社,スタンダード,マシニングセンタ,MV-65,2024-10-05,定期点検,定期点検（四半期）（報告書INS-2024-0078）,全項目点検実施,4.0,無,0,0,○,川上 直樹,4,契約内
SVC-2024-018,関東精密株式会社,スタンダード,CNC旋盤,NL-2000,2024-10-20,緊急対応,タレット割出し不良,カップリング面研磨・再調整,3.0,無,0,45000,○,川上 直樹,4,
SVC-2024-019,甲信電機株式会社,プレミアム,自動組立機,FA-150,2024-10-28,定期点検,定期点検（月次）,全項目点検実施,3.0,無,0,0,○,川上 直樹,5,契約内
SVC-2024-020,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2024-11-05,緊急対応,ボールスクリュー異音,ボールスクリュー交換,7.0,有,320000,0,×,森田 拓海,4,契約内部品・翌日完了
