請求月,利用日,アカウントID,アカウント名,サービスコード,サービス名,利用タイプ,リージョン,リソースID,利用量,単位,コスト_円,部門,システム,環境
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-5d4e7eacd3d4,14638.8,時間,234220,管理部門,ERP基幹システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-b82588652c47,2857.5,時間,80010,管理部門,ERP基幹システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-c9346574db46,3158.5,GB-月,41060,管理部門,ERP基幹システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-f1a74376fb95,425.4,メトリクス,20420,管理部門,ERP基幹システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AWSBackup,AWS Backup,Backup:VolumeStorage,ap-northeast-1 (東京),bk-f32c7227d7a8,7165.0,GB-月,42990,管理部門,ERP基幹システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-592e648b9ba0,6945.6,時間,111130,EC事業部,ECサイト,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-da6219ad37ae,1447.5,時間,40530,EC事業部,ECサイト,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-d7aa8da513fd,1917.7,GB-月,24930,EC事業部,ECサイト,本番
2025-07,2025-07-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-fd500ad95a5d,2948.6,GB,41280,EC事業部,ECサイト,本番
2025-07,2025-07-01,111122223333,本番アカウント,AWSELB,Elastic Load Balancing,LoadBalancerUsage,ap-northeast-1 (東京),elb-b4d068975c34,4460.0,時間,22300,EC事業部,ECサイト,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-bd2801c823b4,4210.0,GB-月,12630,EC事業部,ECサイト,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-b8713bb4863f,162.5,メトリクス,7800,EC事業部,ECサイト,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-576e1f442659,9235.0,時間,147760,製造部門,生産管理システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-87c149a5529e,1953.6,時間,54700,製造部門,生産管理システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-98292be191a9,3302.3,GB-月,42930,製造部門,生産管理システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-ccbb8505a995,295.0,メトリクス,14160,製造部門,生産管理システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AWSBackup,AWS Backup,Backup:VolumeStorage,ap-northeast-1 (東京),bk-8d32d728bf40,2285.0,GB-月,13710,製造部門,生産管理システム,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-ea595f7d8b2f,5517.5,時間,88280,営業部門,顧客管理(CRM),本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-35e79365bd29,1288.6,時間,36080,営業部門,顧客管理(CRM),本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-45f42d028870,1535.4,GB-月,19960,営業部門,顧客管理(CRM),本番
2025-07,2025-07-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-4aa24517263b,1030.7,GB,14430,営業部門,顧客管理(CRM),本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-afecbd4809b5,185.8,メトリクス,8920,営業部門,顧客管理(CRM),本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-8d08b6a0923b,2870.0,GB-月,8610,営業部門,顧客管理(CRM),本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-509585ee4c9d,3620.6,時間,57930,経営企画部門,データ分析基盤,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-b1f13c96c7e9,13070.0,GB-月,39210,経営企画部門,データ分析基盤,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-d48e4c539bf3,1134.6,GB-月,14750,経営企画部門,データ分析基盤,本番
2025-07,2025-07-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-6c0ca7247c02,822.1,GB,11510,経営企画部門,データ分析基盤,本番
