訪問日,訪問ID,顧客名,業種,契約プラン,設備型式,対応区分,所要時間分,部品費,作業費,総費用,SLA達成,一次解決,再訪問,担当エンジニア,訪問距離km,リモート判定,対応難易度,顧客満足度,受付チャネル
2024-01-01,V000001,東京湾岸エナジー,電力,プレミアム,AX-2000,予防保全,84,35289,11942,47231,達成,解決,なし,E015,120.7,不可,高,3.8,メール
2024-01-01,V000002,東北ロジスティクス,物流,プレミアム,RX-500,部品交換,164,61878,27744,89622,未達,解決,なし,E016,37.5,不可,低,3.0,電話
2024-01-02,V000003,東京湾岸エナジー,電力,スタンダード,PX-80,再訪問対応,123,8428,21370,29798,達成,未解決,なし,E010,134.6,不可,中,4.6,Web
2024-01-02,V000004,日本橋製薬,製薬,スタンダード,PX-50,予防保全,94,14735,16284,31019,達成,未解決,なし,E015,117.0,不可,低,3.8,電話
2024-01-03,V000005,東都フィナンシャル証券,金融,ベーシック,MX-200,部品交換,136,49953,20013,69966,達成,解決,なし,E009,164.6,不可,中,4.8,アプリ
2024-01-03,V000006,暮らしの匠,小売,スタンダード,AX-1000,定期点検,90,0,14160,14160,達成,解決,なし,E018,122.0,不可,低,3.6,メール
2024-01-03,V000007,大和精機製作所,製造業,スタンダード,PX-80,予防保全,99,51941,16589,68530,達成,解決,なし,E008,169.4,不可,低,3.6,アプリ
2024-01-04,V000008,東洋精機,製造業,ベーシック,AX-1000,予防保全,124,41608,19275,60883,達成,解決,なし,E002,22.8,不可,低,3.0,メール
2024-01-04,V000009,暮らしの匠,小売,プレミアム,PX-50,予防保全,80,72804,11147,83951,達成,解決,なし,E014,134.1,不可,低,3.3,電話
2024-01-06,V000010,みどり市役所,公共,ベーシック,PX-80,定期点検,74,0,10018,10018,達成,解決,なし,E021,176.6,不可,低,4.1,メール
2024-01-07,V000011,東洋精機,製造業,スタンダード,MX-200,ソフトウェア更新,34,0,3860,3860,達成,解決,なし,E007,61.4,不可,中,3.0,電話
2024-01-07,V000012,花鳥風月,観光,スタンダード,PX-50,緊急修理,152,20964,27227,48191,達成,解決,なし,E004,98.2,不可,中,4.0,電話
2024-01-08,V000013,大和精機製作所,製造業,スタンダード,PX-50,予防保全,138,70955,16277,87232,達成,解決,なし,E012,13.3,不可,低,4.3,現地
2024-01-09,V000014,日本橋製薬,製薬,スタンダード,PX-50,予防保全,72,6082,8226,14308,達成,未解決,なし,E022,87.3,不可,低,3.9,電話
2024-01-10,V000015,株式会社ネクストブリッジ,IT,スポット,MX-200,定期点検,112,0,16909,16909,達成,解決,なし,E020,128.8,不可,低,4.5,現地
2024-01-10,V000016,東和建設,建設,スタンダード,AX-2000,定期点検,64,0,9509,9509,達成,解決,なし,E008,156.1,不可,低,3.2,アプリ
2024-01-11,V000017,株式会社ミライテック,IT,スタンダード,AX-2000,再訪問対応,113,22006,17862,39868,達成,解決,なし,E003,86.4,不可,低,3.6,電話
2024-01-12,V000018,株式会社ネクストブリッジ,IT,ベーシック,AX-1000,緊急修理,118,18021,16373,34394,達成,解決,なし,E014,157.5,不可,高,3.8,電話
2024-01-13,V000019,暮らしの匠,小売,ベーシック,AX-1000,定期点検,81,0,9523,9523,達成,解決,なし,E025,152.5,不可,低,3.7,メール
2024-01-13,V000020,東都フィナンシャル証券,金融,ベーシック,MX-100,予防保全,116,42499,20242,62741,未達,未解決,あり,E005,64.5,不可,低,3.9,現地
2024-01-15,V000021,日本橋製薬,製薬,プレミアム,MX-100,定期点検,72,0,9785,9785,達成,解決,なし,E019,130.4,不可,中,4.2,現地
