ケース番号,受付日時,依頼者部門,カテゴリ,サブカテゴリ,優先度,発生システム,原因区分,件名,対応内容,解決策,再発防止策,対応時間_分,ステータス,担当者
CS-2026-0412,2026-04-02 09:15,経理部,SaaS障害,認証エラー,高,SaaS（個別）,認証期限切れ,経費精算システムにログインできない,ログイン画面のエラー表示を確認。SSO連携のセッション状態を確認し、IdP側でセッションを再発行,IdP側のセッションを再発行し再ログインで解消,ブラウザのキャッシュ削除手順をFAQに掲載,25,クローズ,藤原 美咲
CS-2026-0413,2026-04-03 10:40,営業部,端末障害,起動不可,高,端末,ハードウェア障害,ノートPCが起動しない,電源投入時の挙動を確認。ストレージ診断でSSDのエラーを検出,SSDを交換し代替端末を貸出。データはバックアップから復元,3年以上経過した端末の計画的な更新を提案,180,クローズ,宮本 健太
CS-2026-0414,2026-04-05 14:05,開発部,ネットワーク,接続不可,中,ネットワーク,設定不備,VPN接続後に社内サーバーへアクセスできない,VPN接続自体は成立していることを確認。名前解決の失敗を確認,DNSキャッシュをクリアしVPNを再接続して解消,VPNプロファイルの配布DNS設定を見直し,15,クローズ,宮本 健太
CS-2026-0415,2026-04-08 11:20,人事部,SaaS障害,データ不整合,中,SaaS（個別）,データ形式不正,人事システムへのCSV取込が失敗する,取込ファイルの文字コードと項目数を確認。Shift_JISで作成されていた,ファイルをUTF-8に変換して再取込,取込用テンプレートを配布しFAQに手順を掲載,45,クローズ,藤原 美咲
CS-2026-0416,2026-04-10 09:50,営業部,権限申請,新規発行,低,SaaS（個別）,,CRMの参照権限を追加したい,申請内容と上長承認を確認。権限付与基準に照らして標準権限を付与,標準権限プロファイルを付与,不要,20,クローズ,藤原 美咲
CS-2026-0417,2026-04-14 15:30,製造部,SaaS障害,認証エラー,高,SaaS（個別）,認証期限切れ,経費精算システムにログインできない,CS-2026-0412と同様の事象。IdP側のセッション状態を確認,IdP側のセッションを再発行し再ログインで解消,同一事象が再発しているためFAQを公開,20,クローズ,藤原 美咲
CS-2026-0418,2026-04-17 13:10,経理部,端末障害,表示不良,低,端末,設定不備,外部モニターに画面が表示されない,ケーブルと入力切替を確認。ディスプレイ設定で検出されていないことを確認,ディスプレイドライバを更新し再検出で解消,ドライバ更新手順をFAQに掲載,35,クローズ,宮本 健太
CS-2026-0419,2026-04-22 10:05,営業部,ネットワーク,性能劣化,中,ネットワーク,帯域不足,会議室のWi-Fiが遅い,該当APの接続端末数と帯域使用率を確認。同時接続が上限付近,APを増設するまでの暫定として有線接続を案内,会議室APの増設を起案,60,クローズ,宮本 健太
CS-2026-0420,2026-04-24 16:40,開発部,アカウント,新規発行,中,SaaS（個別）,,中途入社者のアカウントを発行したい,入社処理の申請内容を確認し、標準セットのアカウントを作成,アカウント発行と初期パスワードを通知,入社処理チェックリストに漏れがないか確認,40,クローズ,藤原 美咲
CS-2026-0421,2026-04-28 09:30,経理部,サーバー・基盤障害,性能劣化,中,基幹業務システム,容量不足,月次処理の画面が非常に遅い,月次バッチと同時刻の実行を確認。DB側の表領域使用率が高い状態,バッチ完了後の実行を案内し当日は解消,月次処理の推奨実行時間帯を周知,50,クローズ,宮本 健太
CS-2026-0522,2026-05-06 09:10,営業部,SaaS障害,認証エラー,高,SaaS（個別）,認証期限切れ,経費精算システムにログインできない,FAQ公開後も同様の申告。IdP側のセッションを確認,IdP側のセッションを再発行,FAQの導線をポータルトップに移動,15,クローズ,藤原 美咲
CS-2026-0523,2026-05-08 14:20,製造部,端末障害,起動不可,緊急,端末,ハードウェア障害,製造ライン端末が起動せずライン停止,現場から緊急連絡。電源系の異常を確認し予備機へ切替,予備機に切り替えてライン復旧。故障機はベンダー修理へ,製造ライン端末の予備機を各ラインに常備,90,クローズ,宮本 健太
CS-2026-0524,2026-05-12 11:35,人事部,操作方法照会,その他,低,SaaS（個別）,操作誤り,人事システムの帳票出力条件がわからない,出力条件の設定画面を画面共有で確認しながら案内,操作手順を案内し依頼者側で出力完了,操作手順をマニュアルに追記,25,クローズ,藤原 美咲
CS-2026-0525,2026-05-15 10:00,営業部,データ抽出依頼,その他,低,基幹業務システム,,前年度の売上データを抽出してほしい,抽出条件を依頼者と確認し、抽出クエリを作成,CSVで抽出しセキュアな共有リンクで提供,定型の抽出はセルフサービス化を検討,75,クローズ,宮本 健太
CS-2026-0526,2026-05-19 15:50,開発部,ネットワーク,接続不可,高,ネットワーク,外部要因,大阪拠点から社内システムに接続できない,拠点全体で発生していることを確認。回線事業者の障害情報を確認,回線事業者側の復旧を待機。復旧後に接続確認,バックアップ回線の自動切替を検討,240,クローズ,宮本 健太
CS-2026-0527,2026-05-21 09:25,経理部,SaaS障害,表示不良,低,SaaS（個別）,アプリ不具合,会計システムの帳票が文字化けする,帳票のフォント設定を確認。特定フォントが未インストール,必要フォントをインストールし解消,端末標準イメージに必要フォントを追加,40,クローズ,藤原 美咲
CS-2026-0528,2026-05-26 13:45,営業部,サーバー・基盤障害,性能劣化,中,受発注システム,容量不足,受発注システムが遅い人と普通の人がいる,遅いと申告した端末の接続先APサーバーを確認。片方に偏っていた,長時間占有セッションを解放し暫定復旧,コネクションプール上限の見直しとAP増設を検討,95,クローズ,宮本 健太
CS-2026-0529,2026-05-28 16:10,その他,権限申請,変更,低,ファイルサーバー,権限設定不備,共有フォルダに書き込みできない,付与されている権限を確認。参照のみが付与されていた,書き込み権限を追加し解消,権限申請時の権限種別の確認を徹底,20,クローズ,藤原 美咲
CS-2026-0630,2026-06-02 10:15,人事部,アカウント,削除,中,SaaS（個別）,,退職者のアカウントを停止したい,退職処理の申請内容を確認し、対象アカウントを停止,全SaaSのアカウントを停止しライセンスを回収,退職処理チェックリストの運用を継続,35,クローズ,藤原 美咲
