表示順,項目名,項目API名,型,必須,選択肢,記入ルール
1,件名,Subject,テキスト（80文字以内）,必須,,事象が一目でわかるように「対象システム＋症状」の形で書く。依頼者の言葉をそのまま使わず事象として表現する
2,受付日時,OpenedAt,日時,必須,,問い合わせを受け付けた日時
3,依頼者部門,RequesterDept,選択リスト,必須,営業部/経理部/人事部/開発部/製造部/情報システム部/その他,依頼者の所属部門
4,カテゴリ,Category,選択リスト,必須,端末障害/SaaS障害/サーバー・基盤障害/ネットワーク/アカウント/権限申請/操作方法照会/データ抽出依頼,最も近いものを1つ選ぶ。複数該当する場合は主となる事象で選ぶ
5,サブカテゴリ,SubCategory,選択リスト,任意,起動不可/表示不良/認証エラー/接続不可/性能劣化/データ不整合/新規発行/変更/削除/その他,カテゴリを補足する。判断できない場合は空欄にする
6,優先度,Priority,選択リスト,必須,緊急/高/中/低,優先度判定基準に従って決定する。判定根拠を「対応内容」の冒頭に記載する
7,発生システム,System,選択リスト,必須,基幹業務システム/受発注システム/社内ポータル/ファイルサーバー/バッチ基盤/ネットワーク/端末/SaaS（個別）,対象となるシステム
8,原因区分,CauseType,選択リスト,任意,設定不備/権限設定不備/認証期限切れ/ハードウェア障害/容量不足/アプリ不具合/データ形式不正/更新不具合/帯域不足/操作誤り/仕様どおり/外部要因/原因未特定,調査で判明した原因の分類。未判明の場合は「原因未特定」
9,対応内容,ActionTaken,テキスト（複数行）,必須,,実施した確認・操作を時系列で書く。推測を断定形で書かない
10,解決策,Resolution,テキスト（複数行）,必須,,依頼者の事象が解消した方法。未解決の場合は現時点の状況と次のアクションを書く
11,再発防止策,Prevention,テキスト（複数行）,任意,,同じ事象を防ぐために必要な対応。不要な場合は「不要」と記載
12,依頼者向け回答,ReplyToRequester,テキスト（複数行）,必須,,依頼者にそのまま送れる文面。専門用語を避け、次に何をすればよいかを明記する
13,対応時間_分,HandlingMinutes,数値,必須,,実際に要した対応時間（分）
14,ステータス,Status,選択リスト,必須,受付/調査中/対応中/解決済/クローズ/エスカレーション済,現在の状態
15,類似ケース,RelatedCases,テキスト,任意,,参考にした過去ケースのケース番号をカンマ区切りで記載
16,引き継ぎ事項,Handover,テキスト（複数行）,任意,,未解決のまま引き継ぐ場合の申し送り。不要な場合は空欄
