日付,社員ID,部門,職位,出勤,退勤,所定時間分,残業時間分,深夜時間分,休暇種別,有休消化日数,テレワーク,フレックス利用,打刻漏れ,36協定残量分,プロジェクトID,勤務地,シフトパターン,曜日,業務カテゴリ
2025-06-09,EMP0100,営業1部,主任,09:54,17:35,480,41,0,,0.4,なし,なし,なし,1135,PJ0015,本社,シフトB,月,営業活動
2025-06-09,EMP0052,営業2部,部長,08:16,16:08,480,52,0,,0.5,なし,なし,なし,1464,PJ0011,工場,フレックス,月,管理
2025-06-09,EMP0168,製造2部,主任,08:27,17:06,480,99,10,,0.6,あり,なし,なし,1694,PJ0013,大阪オフィス,シフトB,月,管理
2025-06-09,EMP0094,人事部,課長,09:54,17:54,480,0,0,,0.3,あり,あり,なし,1646,PJ0006,本社,フレックス,月,事務
2025-06-09,EMP0158,人事部,課長,08:48,16:08,480,20,0,,0.7,あり,なし,なし,1340,PJ0025,大阪オフィス,シフトA,月,製造
2025-06-09,EMP0080,営業1部,一般,09:15,17:34,480,19,0,,0.8,あり,なし,なし,713,PJ0021,本社,夜勤,月,サポート
2025-06-09,EMP0022,DX推進部,一般,09:30,17:51,480,21,0,,0.7,なし,あり,なし,1346,PJ0003,名古屋オフィス,フレックス,月,営業活動
2025-06-09,EMP0092,人事部,一般,09:10,17:26,480,16,0,,0.9,なし,あり,なし,1107,PJ0023,福岡オフィス,フレックス,月,会議
2025-06-09,EMP0187,総務部,一般,08:25,17:59,480,94,26,,0.7,あり,あり,なし,958,PJ0008,名古屋オフィス,フレックス,月,営業活動
2025-06-09,EMP0061,マーケ部,主任,09:13,17:13,480,0,0,,0.4,なし,なし,なし,1131,PJ0026,福岡オフィス,通常,月,会議
2025-06-09,EMP0071,R&D部,係長,09:17,17:17,480,0,0,,0.8,あり,あり,なし,998,PJ0007,本社,フレックス,月,事務
2025-06-09,EMP0043,DX推進部,課長,09:26,17:32,480,6,0,,0.4,あり,なし,なし,1843,PJ0020,工場,シフトA,月,管理
2025-04-15,EMP0141,人事部,主任,09:48,17:48,480,0,0,,0.5,なし,あり,なし,1333,PJ0023,大阪オフィス,フレックス,火,営業活動
2025-04-15,EMP0128,製造2部,一般,08:46,16:10,480,24,0,,0.3,あり,なし,なし,861,PJ0018,本社,シフトA,火,開発
2025-04-15,EMP0047,R&D部,主任,09:26,18:43,480,77,0,,0.7,なし,なし,なし,978,PJ0009,福岡オフィス,フレックス,火,管理
2025-04-15,EMP0177,製造1部,課長,08:46,16:52,480,6,0,,0.5,あり,なし,なし,1512,PJ0005,本社,シフトA,火,営業活動
2025-04-15,EMP0121,製造1部,一般,08:46,16:35,480,49,0,,1.0,あり,あり,なし,781,PJ0022,工場,夜勤,火,事務
2025-04-15,EMP0098,マーケ部,一般,08:53,16:53,480,0,0,,0.4,あり,なし,なし,1891,PJ0019,福岡オフィス,シフトA,火,管理
2025-04-15,EMP0086,R&D部,一般,08:05,16:29,480,24,0,,0.1,あり,なし,あり,1342,PJ0029,名古屋オフィス,通常,火,管理
2025-04-15,EMP0082,営業2部,一般,09:24,17:24,480,0,0,,0.7,あり,あり,なし,724,PJ0019,本社,シフトA,火,サポート
2025-04-15,EMP0012,製造2部,一般,10:15,19:19,480,64,0,,0.6,あり,なし,なし,1349,PJ0022,名古屋オフィス,フレックス,火,会議
2025-04-15,EMP0010,製造2部,一般,09:49,17:26,480,37,0,,0.0,なし,あり,なし,1004,PJ0024,福岡オフィス,シフトB,火,製造
2025-04-15,EMP0039,営業2部,主任,09:27,17:27,480,0,0,,0.2,あり,あり,なし,1375,PJ0029,名古屋オフィス,シフトB,火,製造
