受付日時,チケットID,カテゴリ,部門,優先度,対応者役職,対応時間分,解決日,FCRフラグ,SLA達成,再発フラグ,対応形態,問合せソース,要因区分,顧客満足度
2024-11-01 22:18,HD2411010000,VPN,情シス,高,主任,90,2024-11-01,あり,達成,なし,リモート,チャット,脆弱性,5
2024-01-03 23:01,HD2401030001,アカウント,経理,高,課長,108,2024-01-04,あり,達成,なし,リモート,電話,ハード故障,4
2025-05-10 05:19,HD2505100002,ネットワーク,営業,高,主任,267,2025-05-10,なし,未達,なし,リモート,チケット,ハード故障,3
2024-04-11 12:02,HD2404110003,PCトラブル,総務,中,課長,101,2024-04-11,あり,達成,なし,リモート,チケット,教育不足,5
2025-07-23 11:17,HD2507230004,メール,営業,中,課長,65,2025-07-23,あり,達成,なし,オンサイト,チケット,教育不足,5
2024-10-21 18:58,HD2410210005,アカウント,マーケ,低,係長,21,2024-10-21,あり,達成,なし,電話,チケット,設定不備,5
2024-10-07 01:04,HD2410070006,VPN,経理,高,課長,220,2024-10-07,あり,未達,なし,リモート,チャット,ハード故障,1
2024-12-25 02:46,HD2412250007,ネットワーク,開発,高,課長,137,2024-12-25,あり,達成,なし,リモート,電話,設定不備,4
2026-04-13 16:45,HD2604130008,VPN,経理,低,主任,5,2026-04-13,あり,達成,なし,オンサイト,チャット,設定不備,5
2025-04-17 07:13,HD2504170009,ネットワーク,法務,中,係長,64,2025-04-17,あり,達成,なし,リモート,チャット,脆弱性,5
2024-11-12 15:47,HD2411120010,業務システム,情シス,中,課長,87,2024-11-12,あり,達成,なし,リモート,チャット,設定不備,4
2025-01-03 21:23,HD2501030011,アカウント,マーケ,中,主任,124,2025-01-03,あり,達成,なし,オンサイト,チャット,ハード故障,5
2024-10-30 21:05,HD2410300012,VPN,経理,中,課長,49,2024-10-30,あり,達成,なし,リモート,チケット,設定不備,5
2026-03-30 15:00,HD2603300013,PCトラブル,情シス,中,課長,48,2026-03-30,あり,達成,なし,オンサイト,チャット,その他,4
2024-03-14 12:05,HD2403140014,PCトラブル,営業,高,課長,101,2024-03-14,あり,達成,なし,オンサイト,チケット,ハード故障,5
2024-08-11 19:36,HD2408110015,アカウント,法務,中,課長,63,2024-08-11,なし,達成,なし,リモート,チケット,設定不備,4
2026-03-29 21:51,HD2603290016,VPN,情シス,低,係長,36,2026-03-29,なし,達成,なし,リモート,チケット,教育不足,5
2025-11-18 19:13,HD2511180017,メール,マーケ,高,課長,40,2025-11-18,あり,達成,あり,リモート,対面,設定不備,5
2024-07-18 15:18,HD2407180018,SaaS利用,総務,中,係長,65,2024-07-18,あり,達成,なし,リモート,チケット,仕様,5
2024-11-05 04:12,HD2411050019,アカウント,総務,低,係長,30,2024-11-05,あり,達成,なし,オンサイト,チケット,脆弱性,5
2026-04-04 13:16,HD2604040020,アカウント,開発,中,係長,63,2026-04-04,なし,達成,なし,オンサイト,チャット,教育不足,5
2025-02-02 04:40,HD2502020021,PCトラブル,マーケ,中,主任,56,2025-02-02,あり,達成,なし,電話,チケット,ハード故障,5
2024-11-14 03:15,HD2411140022,アカウント,情シス,中,主任,38,2024-11-14,あり,達成,なし,電話,チケット,設定不備,5
2026-05-10 22:07,HD2605100023,メール,営業,高,主任,115,2026-05-11,あり,達成,なし,オンサイト,チケット,外部要因,5
2024-02-12 02:19,HD2402120024,SaaS利用,営業,中,主任,47,2024-02-12,あり,達成,なし,オンサイト,チャット,設定不備,5
2025-01-24 16:56,HD2501240025,ネットワーク,法務,中,課長,22,2025-01-24,なし,達成,なし,リモート,チケット,設定不備,3
2026-01-08 22:29,HD2601080026,ネットワーク,マーケ,中,課長,23,2026-01-08,あり,達成,あり,オンサイト,チャット,ハード故障,5
2025-05-06 12:52,HD2505060027,ネットワーク,マーケ,中,課長,38,2025-05-06,あり,達成,なし,電話,チャット,教育不足,4
2024-06-03 21:05,HD2406030028,VPN,法務,中,係長,42,2024-06-03,あり,達成,なし,オンサイト,チケット,外部要因,5
2024-06-05 17:36,HD2406050029,ネットワーク,情シス,低,係長,17,2024-06-05,あり,達成,なし,電話,チャット,設定不備,4
2024-09-11 07:23,HD2409110030,VPN,情シス,低,主任,33,2024-09-11,あり,達成,なし,電話,チケット,その他,4
2026-03-12 17:38,HD2603120031,PCトラブル,開発,中,係長,68,2026-03-12,あり,達成,なし,電話,メール,ハード故障,4
2024-01-04 08:58,HD2401040032,ネットワーク,経理,低,課長,23,2024-01-04,あり,達成,なし,リモート,チケット,仕様,4
2025-02-25 08:17,HD2502250033,VPN,マーケ,中,係長,65,2025-02-25,あり,達成,なし,リモート,チケット,外部要因,5
2025-09-06 05:09,HD2509060034,PCトラブル,経理,中,主任,32,2025-09-06,あり,達成,あり,オンサイト,対面,その他,5
2024-06-14 05:39,HD2406140035,アカウント,経理,高,主任,168,2024-06-14,あり,未達,なし,リモート,チャット,設定不備,3
2025-11-27 04:07,HD2511270036,PCトラブル,マーケ,中,課長,20,2025-11-27,あり,達成,なし,オンサイト,メール,教育不足,4
2026-04-23 05:37,HD2604230037,ネットワーク,総務,緊急,課長,155,2026-04-23,あり,未達,あり,リモート,チャット,教育不足,3
2025-03-10 19:31,HD2503100038,PCトラブル,経理,低,係長,26,2025-03-10,なし,達成,なし,オンサイト,チャット,ハード故障,4
2024-04-18 18:39,HD2404180039,VPN,人事,中,課長,57,2024-04-18,あり,達成,なし,リモート,チャット,設定不備,5
2026-01-09 20:12,HD2601090040,PCトラブル,経理,中,主任,56,2026-01-09,あり,達成,なし,オンサイト,チケット,教育不足,5
2024-01-16 05:40,HD2401160041,PCトラブル,マーケ,中,主任,32,2024-01-16,あり,達成,なし,オンサイト,電話,仕様,5
2026-03-11 12:57,HD2603110042,メール,人事,中,課長,57,2026-03-11,あり,達成,なし,オンサイト,電話,その他,4
2024-11-11 06:21,HD2411110043,ネットワーク,人事,低,主任,40,2024-11-11,あり,達成,なし,リモート,チャット,教育不足,5
2024-10-05 18:47,HD2410050044,PCトラブル,マーケ,中,係長,56,2024-10-05,あり,達成,なし,リモート,チケット,設定不備,5
2024-10-05 01:26,HD2410050045,VPN,法務,低,係長,11,2024-10-05,なし,達成,なし,オンサイト,チャット,脆弱性,4
2026-05-27 22:13,HD2605270046,PCトラブル,マーケ,中,課長,33,2026-05-27,あり,達成,あり,リモート,チケット,設定不備,5
2025-06-25 01:18,HD2506250047,アカウント,製造,低,課長,36,2025-06-25,なし,達成,なし,オンサイト,チャット,教育不足,5
2026-01-30 04:42,HD2601300048,アカウント,法務,中,主任,59,2026-01-30,あり,達成,なし,リモート,チケット,設定不備,5
2025-09-30 17:44,HD2509300049,VPN,製造,高,主任,145,2025-09-30,なし,未達,なし,リモート,チャット,設定不備,3
2024-12-20 18:52,HD2412200050,PCトラブル,情シス,高,課長,152,2024-12-20,あり,未達,なし,リモート,チケット,設定不備,3
2025-11-20 09:28,HD2511200051,ネットワーク,マーケ,緊急,課長,165,2025-11-20,なし,未達,なし,リモート,チケット,教育不足,2
2024-08-29 18:07,HD2408290052,アカウント,開発,中,課長,60,2024-08-29,あり,達成,なし,オンサイト,チケット,教育不足,5
2024-11-10 10:49,HD2411100053,ネットワーク,法務,中,係長,64,2024-11-10,あり,達成,あり,オンサイト,チケット,設定不備,4
2026-04-10 15:34,HD2604100054,PCトラブル,経理,中,係長,44,2026-04-10,あり,達成,なし,オンサイト,チャット,教育不足,5
2025-10-28 15:23,HD2510280055,VPN,経理,高,係長,50,2025-10-28,あり,達成,なし,リモート,チケット,設定不備,5
2025-05-04 10:45,HD2505040056,PCトラブル,総務,低,主任,40,2025-05-04,あり,達成,なし,電話,メール,教育不足,5
2025-06-05 02:17,HD2506050057,PCトラブル,人事,高,係長,106,2025-06-05,あり,未達,なし,電話,チケット,外部要因,3
2024-11-27 03:09,HD2411270058,アカウント,製造,高,課長,126,2024-11-27,あり,達成,なし,リモート,チャット,ハード故障,5
2025-10-11 17:28,HD2510110059,プリンタ,経理,中,課長,12,2025-10-11,あり,達成,なし,リモート,チケット,その他,4
2024-07-15 02:11,HD2407150060,VPN,マーケ,中,主任,99,2024-07-15,あり,達成,なし,リモート,チケット,教育不足,5
2025-08-21 06:08,HD2508210061,アカウント,人事,高,課長,139,2025-08-21,あり,未達,なし,オンサイト,チケット,教育不足,3
2025-10-07 18:42,HD2510070062,メール,経理,中,課長,31,2025-10-07,あり,達成,なし,リモート,チケット,設定不備,5
2024-03-14 09:35,HD2403140063,PCトラブル,人事,中,係長,84,2024-03-14,あり,達成,なし,リモート,チケット,その他,4
2024-12-31 14:03,HD2412310064,メール,人事,緊急,課長,282,2024-12-31,あり,未達,なし,リモート,メール,外部要因,1
2025-04-28 08:58,HD2504280065,SaaS利用,総務,低,係長,32,2025-04-28,あり,達成,なし,リモート,チケット,設定不備,5
2025-09-27 09:46,HD2509270066,ネットワーク,製造,高,課長,54,2025-09-27,なし,達成,なし,リモート,チケット,脆弱性,4
2025-02-20 01:20,HD2502200067,アカウント,営業,中,係長,64,2025-02-20,あり,達成,なし,リモート,チャット,教育不足,5
2025-09-12 13:26,HD2509120068,PCトラブル,マーケ,中,主任,58,2025-09-12,あり,達成,なし,オンサイト,チケット,設定不備,5
2025-12-19 21:18,HD2512190069,プリンタ,総務,低,係長,26,2025-12-19,あり,達成,なし,リモート,チャット,設定不備,5
2026-03-23 04:58,HD2603230070,アカウント,法務,緊急,係長,205,2026-03-23,なし,未達,なし,オンサイト,チャット,教育不足,2
2026-02-10 09:19,HD2602100071,SaaS利用,製造,低,主任,34,2026-02-10,あり,達成,なし,リモート,メール,設定不備,4
2025-09-14 20:30,HD2509140072,ネットワーク,経理,中,主任,68,2025-09-14,あり,達成,なし,リモート,メール,外部要因,5
2024-12-03 00:37,HD2412030073,アカウント,法務,低,課長,25,2024-12-03,あり,達成,なし,オンサイト,チケット,設定不備,4
2026-03-27 02:19,HD2603270074,SaaS利用,法務,低,主任,24,2026-03-27,あり,達成,なし,リモート,電話,教育不足,5
2026-05-27 06:58,HD2605270075,PCトラブル,営業,中,課長,39,2026-05-27,なし,達成,なし,オンサイト,メール,教育不足,4
2024-10-23 14:17,HD2410230076,VPN,人事,中,係長,60,2024-10-23,あり,達成,なし,オンサイト,チケット,教育不足,5
2026-01-10 17:02,HD2601100077,SaaS利用,情シス,中,主任,84,2026-01-10,あり,達成,なし,電話,チケット,教育不足,4
2024-01-01 16:27,HD2401010078,業務システム,営業,低,係長,51,2024-01-01,あり,達成,なし,オンサイト,チャット,ハード故障,5
2026-04-08 13:01,HD2604080079,PCトラブル,人事,中,係長,93,2026-04-08,あり,達成,なし,電話,チャット,教育不足,5
2025-11-10 01:04,HD2511100080,プリンタ,マーケ,低,主任,23,2025-11-10,あり,達成,あり,リモート,チケット,設定不備,4
2025-08-08 15:17,HD2508080081,PCトラブル,開発,中,主任,102,2025-08-08,あり,達成,なし,リモート,チケット,脆弱性,5
2025-07-05 23:16,HD2507050082,アカウント,製造,低,係長,19,2025-07-05,あり,達成,なし,リモート,チャット,仕様,5
2025-09-28 11:21,HD2509280083,アカウント,法務,中,係長,38,2025-09-28,あり,達成,なし,オンサイト,チケット,教育不足,4
2026-04-07 10:43,HD2604070084,ネットワーク,総務,高,主任,19,2026-04-07,あり,達成,なし,リモート,チケット,外部要因,5
2024-08-31 09:04,HD2408310085,PCトラブル,人事,高,係長,70,2024-08-31,あり,達成,なし,リモート,チャット,設定不備,5
2026-01-29 16:51,HD2601290086,PCトラブル,人事,中,主任,50,2026-01-29,あり,達成,なし,電話,チケット,外部要因,5
2024-04-01 21:34,HD2404010087,PCトラブル,営業,中,係長,68,2024-04-01,あり,達成,なし,電話,チャット,ハード故障,5
2024-06-16 17:50,HD2406160088,VPN,情シス,低,係長,12,2024-06-16,あり,達成,なし,オンサイト,チャット,教育不足,5
2025-06-08 20:28,HD2506080089,PCトラブル,開発,低,主任,19,2025-06-08,あり,達成,なし,リモート,電話,教育不足,5
2024-04-30 13:41,HD2404300090,ネットワーク,開発,中,係長,36,2024-04-30,あり,達成,なし,リモート,チケット,ハード故障,4
2024-04-26 17:30,HD2404260091,PCトラブル,総務,高,係長,85,2024-04-26,あり,達成,なし,リモート,チケット,設定不備,5
2025-05-16 02:34,HD2505160092,セキュリティ,製造,中,係長,143,2025-05-16,あり,達成,なし,リモート,チケット,外部要因,5
2024-05-24 07:11,HD2405240093,SaaS利用,法務,中,係長,44,2024-05-24,あり,達成,なし,リモート,チケット,設定不備,4
2025-12-13 02:24,HD2512130094,セキュリティ,法務,中,課長,82,2025-12-13,なし,達成,なし,リモート,チャット,ハード故障,4
2025-10-09 12:17,HD2510090095,PCトラブル,開発,中,主任,80,2025-10-09,あり,達成,なし,電話,対面,その他,5
2024-02-24 18:17,HD2402240096,アカウント,人事,中,主任,70,2024-02-24,あり,達成,なし,リモート,チケット,仕様,5
2024-05-17 04:24,HD2405170097,PCトラブル,開発,中,課長,66,2024-05-17,あり,達成,なし,リモート,電話,教育不足,5
2025-05-30 16:07,HD2505300098,PCトラブル,マーケ,高,主任,53,2025-05-30,あり,達成,なし,リモート,チケット,設定不備,5
2024-12-01 11:11,HD2412010099,プリンタ,総務,低,係長,20,2024-12-01,あり,達成,なし,リモート,チケット,設定不備,5
