FAQ番号,カテゴリ,質問,対象者,公開日,最終更新日,月間参照回数,関連手順書,備考
FAQ-01,アカウント,パスワードを忘れてログインできないとき,全社員,2025-06-10,2026-02-14,142,OPS-011,セルフリセット手順を追記
FAQ-02,ネットワーク,VPNに接続できないとき,全社員,2025-06-10,2025-11-20,98,OPS-023,
FAQ-03,端末障害,複合機から印刷できないとき,全社員,2025-07-01,2026-01-15,76,,用紙・トナー切れの確認手順のみ
FAQ-04,権限申請,SaaSの利用申請をしたいとき,全社員,2025-07-01,2025-07-01,54,OPS-031,申請フォームへの導線
FAQ-05,アカウント,入社時に必要なアカウントの発行申請,管理者,2025-08-05,2026-03-02,31,OPS-032,人事部との連携手順を追記
FAQ-06,アカウント,退職者のアカウント停止手続き,管理者,2025-08-05,2026-03-02,22,OPS-033,
FAQ-07,ネットワーク,社内Wi-Fiに接続する方法,全社員,2025-09-12,2025-09-12,67,,
FAQ-08,端末障害,PCの動作が遅いと感じたとき,全社員,2025-10-03,2026-04-20,88,,更新プログラムの適用手順を追記
FAQ-09,SaaS障害,Web会議で音声が聞こえない・マイクが使えないとき,全社員,2025-11-14,2026-02-28,73,,
FAQ-10,権限申請,共有フォルダのアクセス権限を追加したいとき,全社員,2026-01-20,2026-01-20,45,OPS-034,
