月,部門,売上_円
2025-07,営業部門,184110000
2025-07,EC事業部,60160000
2025-07,製造部門,191560000
2025-08,営業部門,187620000
2025-08,EC事業部,65530000
2025-08,製造部門,187850000
2025-09,営業部門,185880000
2025-09,EC事業部,67330000
2025-09,製造部門,209490000
2025-10,営業部門,187990000
2025-10,EC事業部,67360000
2025-10,製造部門,222970000
2025-11,営業部門,187480000
2025-11,EC事業部,68680000
2025-11,製造部門,228100000
2025-12,営業部門,190050000
2025-12,EC事業部,101400000
2025-12,製造部門,212370000
2026-01,営業部門,189190000
2026-01,EC事業部,73340000
2026-01,製造部門,195700000
2026-02,営業部門,186580000
2026-02,EC事業部,76700000
2026-02,製造部門,199360000
2026-03,営業部門,187310000
2026-03,EC事業部,80040000
2026-03,製造部門,218170000
2026-04,営業部門,191370000
2026-04,EC事業部,79330000
2026-04,製造部門,199930000
2026-05,営業部門,190180000
2026-05,EC事業部,82830000
2026-05,製造部門,207140000
2026-06,営業部門,192210000
2026-06,EC事業部,87170000
2026-06,製造部門,213950000
