障害ID,発生日,発生時刻,システム名,エラーコード,事象,影響範囲,重要度,原因,一次対処,恒久対策,恒久対策ステータス,対応時間_分,対応者,備考
INC-2025-0912,2025-09-12,03:22,基幹業務システム,ERR-DB-0412,夜間バッチ異常終了,経理部（売上集計が翌日まで未反映）,A,トランザクションログの肥大化,古いアーカイブログを退避,ログローテーション設定の見直し,未実施,150,宮本 健太,対策は運用課の課題管理表に登録済み
INC-2025-1104,2025-11-04,10:15,ファイルサーバー,ERR-FS-0703,共有フォルダへの保存不可,営業部,B,部門割当容量の上限到達,ごみ箱と旧世代データを整理,部門容量の見直しと定期棚卸しの運用化,実施済,60,藤原 美咲,四半期ごとの棚卸しを運用手順書に追加
INC-2025-1219,2025-12-19,14:40,社内ポータル,ERR-APP-0611,作業中の強制ログアウトが頻発,全社（軽微）,C,ロードバランサのセッション維持設定が外れていた,設定を復旧,設定変更時のレビュー手順を追加,実施済,90,宮本 健太,
INC-2026-0128,2026-01-28,02:47,基幹業務システム,ERR-DB-0412,夜間バッチ異常終了,経理部・営業部,A,トランザクションログの肥大化,古いアーカイブログを退避,ログローテーション設定の見直し,未実施,180,宮本 健太,2回目の発生。前回と同一原因
INC-2026-0210,2026-02-10,09:05,全SaaS,ERR-AUTH-0271,SSO認証エラーで複数システムにログイン不可,全社（業務停止）,A,IdP署名証明書の有効期限切れ,証明書を再発行し各SPへ再登録,証明書有効期限の監視項目追加,未実施,210,藤原 美咲,課長エスカレーション実施。監視追加はベンダー見積待ち
INC-2026-0303,2026-03-03,11:20,バッチ基盤,ERR-BATCH-0139,取込ジョブが0件処理で終了,人事部,C,連携元が文字コードをShift_JISからUTF-8へ変更,ファイルを変換して再取込,連携仕様変更時の事前通知フローを整備,実施済,45,宮本 健太,
INC-2026-0322,2026-03-22,16:30,拠点間VPN,ERR-NET-0902,大阪拠点から社内システムに接続不可,大阪拠点（業務停止）,A,回線事業者側の設備障害,回線事業者へ連絡し復旧を待機,バックアップ回線の自動切替を検討,検討中,240,宮本 健太,自社対処不可の事案
INC-2026-0409,2026-04-09,13:55,社内ポータル,ERR-MW-0450,午後になると徐々に応答が遅くなる,全社（軽微）,B,ヒープサイズが業務量に対して不足,計画再起動で一時回避,ヒープ設定の見直し,実施済,120,藤原 美咲,ベンダー推奨値へ変更
INC-2026-0421,2026-04-21,10:02,基幹業務システム,ERR-DB-0517,特定画面で更新処理が失敗,経理部（軽微）,B,月次バッチと業務画面の更新競合,後発セッションを終了し再実行を案内,月次バッチ実行時間帯の周知徹底,実施済,50,宮本 健太,
INC-2026-0508,2026-05-08,15:12,社内ネットワーク,ERR-NET-0915,ホスト名でのアクセスのみ不可,開発部,B,VPN接続時に配布されるDNS設定の誤り,DNSキャッシュのクリアと設定修正,VPNプロファイルの設定レビュー,実施済,40,藤原 美咲,
INC-2026-0526,2026-05-26,09:48,受発注システム,ERR-APP-0533,画面表示が遅い利用者と正常な利用者が混在,営業部（業務影響あり）,B,月初の同時アクセス集中,長時間占有セッションを解放,コネクションプール上限の見直しとAP増設の検討,検討中,95,宮本 健太,月初に再発の可能性あり
INC-2026-0603,2026-06-03,04:10,基幹業務システム,ERR-DB-0412,夜間バッチの警告のみ（異常終了は回避）,影響なし,B,一時表領域の使用量が閾値超過,不要セッションを解放,ログローテーション設定の見直し,未実施,30,宮本 健太,3回目。ここで対策していれば6/12の異常終了は防げた可能性がある
