日付,顧客名,契約プラン,作業件数,作業工数_時間,インシデント件数,監視アラート件数,問い合わせ件数,SLA超過件数
2026-04-01,あさひ物流株式会社,スタンダード,1,2.0,0,0,0,0
2026-04-01,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-01,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-02,あさひ物流株式会社,スタンダード,1,2.0,0,0,0,0
2026-04-02,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-02,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-03,あさひ物流株式会社,スタンダード,1,3.5,0,0,0,0
2026-04-03,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-03,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-04,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-04-04,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-04,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-05,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-04-05,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-05,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-06,あさひ物流株式会社,スタンダード,1,0.5,0,0,1,0
2026-04-06,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-06,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-07,あさひ物流株式会社,スタンダード,1,3.0,0,0,0,0
2026-04-07,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-07,大和フーズ株式会社,プレミアム,1,3.0,0,0,0,0
2026-04-08,あさひ物流株式会社,スタンダード,1,1.5,0,0,0,0
2026-04-08,みどり建設株式会社,ライト,1,1.5,0,0,0,0
2026-04-08,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-09,あさひ物流株式会社,スタンダード,1,1.0,0,1,0,0
2026-04-09,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-09,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-10,あさひ物流株式会社,スタンダード,1,3.5,0,0,0,0
2026-04-10,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-10,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-11,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-04-11,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-11,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-12,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-04-12,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-12,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-13,あさひ物流株式会社,スタンダード,1,1.0,0,0,1,0
2026-04-13,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-13,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-14,あさひ物流株式会社,スタンダード,1,2.5,1,0,0,0
2026-04-14,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-14,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-15,あさひ物流株式会社,スタンダード,2,5.5,0,0,0,0
2026-04-15,みどり建設株式会社,ライト,1,1.0,0,0,0,0
2026-04-15,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-16,あさひ物流株式会社,スタンダード,1,0.5,0,0,1,0
2026-04-16,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-16,大和フーズ株式会社,プレミアム,1,2.5,1,0,0,0
2026-04-17,あさひ物流株式会社,スタンダード,1,3.5,0,0,0,0
2026-04-17,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-17,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-18,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-04-18,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-18,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-19,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-04-19,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-19,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-20,あさひ物流株式会社,スタンダード,1,1.0,0,0,1,0
2026-04-20,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-20,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-21,あさひ物流株式会社,スタンダード,1,0.5,0,1,0,0
2026-04-21,みどり建設株式会社,ライト,1,0.5,0,0,1,0
2026-04-21,大和フーズ株式会社,プレミアム,1,2.5,0,0,0,0
2026-04-22,あさひ物流株式会社,スタンダード,1,1.5,0,0,0,0
2026-04-22,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-22,大和フーズ株式会社,プレミアム,1,1.0,0,0,0,0
2026-04-23,あさひ物流株式会社,スタンダード,1,0.5,0,0,1,0
2026-04-23,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-23,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-24,あさひ物流株式会社,スタンダード,1,3.5,0,0,0,0
2026-04-24,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-24,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-25,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-04-25,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-25,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-26,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-04-26,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-26,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-27,あさひ物流株式会社,スタンダード,2,4.0,1,0,1,0
2026-04-27,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-27,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-28,あさひ物流株式会社,スタンダード,2,1.5,0,1,1,0
2026-04-28,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-28,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-29,あさひ物流株式会社,スタンダード,1,1.0,0,0,1,0
2026-04-29,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-04-29,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-04-30,あさひ物流株式会社,スタンダード,2,6.0,0,0,0,0
2026-04-30,みどり建設株式会社,ライト,1,2.5,0,0,0,0
2026-04-30,大和フーズ株式会社,プレミアム,1,3.0,0,0,0,0
2026-05-01,あさひ物流株式会社,スタンダード,2,6.0,0,0,0,0
2026-05-01,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-01,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-02,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-02,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-02,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-03,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-03,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-03,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-04,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-04,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-04,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-05,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-05,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-05,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-06,あさひ物流株式会社,スタンダード,1,0.5,0,1,0,0
2026-05-06,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-06,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-07,あさひ物流株式会社,スタンダード,2,2.5,0,0,1,0
2026-05-07,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-07,大和フーズ株式会社,プレミアム,1,3.0,0,0,0,0
2026-05-08,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-08,みどり建設株式会社,ライト,1,1.5,0,0,0,0
2026-05-08,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-09,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-09,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-09,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-10,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-10,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-10,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-11,あさひ物流株式会社,スタンダード,2,4.0,0,0,1,0
2026-05-11,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-11,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-12,あさひ物流株式会社,スタンダード,1,2.5,1,0,0,0
2026-05-12,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-12,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-13,あさひ物流株式会社,スタンダード,1,1.0,0,1,0,0
2026-05-13,みどり建設株式会社,ライト,0,0.0,0,0,0,0
